Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Detectability of Rare Mussels,Detectability of Medium-Rare Mussels,Detectability of Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number Transects,Number Quadrats Per Transect,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Sum of Quadrats per Surveyor,Mean Probability of Detection for Sampled Mussels,Mean Times Sampled Mussel is Sampled,Mussels detected by Surveyor 1,Mussels detected by Surveyor 2,Mussels detected by Surveyor 3,Estimated Density,Sample CV,Mussels Per Person Hour,HH metric,HH Variance,
12,0.5,timed-search,0.1,50,4,9,37,1,1,1,random,5,6,Randomly placed,1.0149999999999835,1999,0,5,10,2000,true,4.5,0,415,9,2,1,6,9,2,1,6,4.518124999999984,539,1,1.2222222222222223,2,6,1,0,NA,1.9919767602711371,0,0,
4,0.5,timed-search,0.1,50,6,7,37,1,1,1,random,5,6,Randomly placed,1.014999999999984,1999,0,5,10,2000,true,4.5,0,409,5,1,1,3,5,1,1,3,4.506874999999959,532,1,1.8,3,0,2,0,NA,1.1094161697406841,0,0,
15,0.5,timed-search,0.1,50,5,12,33,1,1,1,random,5,6,Randomly placed,0.9749999999999818,1999,0,5,10,2000,true,4.5,0,421,5,2,0,3,5,2,0,3,4.509374999999972,535,1,1.4,1,3,1,0,NA,1.1088011088011156,0,0,
3,0.5,timed-search,0.1,50,6,6,38,1,1,1,random,5,6,Randomly placed,0.974999999999982,1999,0,5,10,2000,true,4.5,0,413,10,3,0,7,10,3,0,7,4.523124999999981,537,1,1.2,4,5,1,0,NA,2.210860853945014,0,0,
8,0.5,timed-search,0.1,50,4,8,38,1,1,1,random,5,6,Randomly placed,1.0149999999999821,1999,0,5,10,2000,true,4.5,0,415,11,2,2,7,11,2,2,7,4.500624999999983,534,1,1.4545454545454546,5,2,4,0,NA,2.444104985418701,0,0,
2,0.5,timed-search,0.1,50,4,7,39,1,1,1,random,5,6,Randomly placed,0.974999999999981,1999,0,5,10,2000,true,4.5,0,429,10,1,1,8,10,1,1,8,4.511875000000002,538,1,1.2,3,5,2,0,NA,2.2163734589278286,0,0,
17,0.5,timed-search,0.1,50,3,6,41,1,1,1,random,5,6,Randomly placed,0.9749999999999842,1999,0,5,10,2000,true,4.5,0,408,11,1,2,8,11,1,2,8,4.508125000000002,536,1,1.2727272727272727,8,3,0,0,NA,2.4400388187993887,0,0,
18,0.5,timed-search,0.1,50,4,7,39,1,1,1,random,5,6,Randomly placed,1.0149999999999821,1999,0,5,10,2000,true,4.5,0,396,13,1,3,9,13,1,3,9,4.515624999999995,537,1,2.1538461538461537,6,2,5,0,NA,2.878892733564017,0,0,
22,0.5,timed-search,0.1,50,2,5,43,1,1,1,random,5,6,Randomly placed,0.9749999999999803,1999,0,5,10,2000,true,4.5,0,419,7,0,1,6,7,0,1,6,4.502499999999992,532,1,1.1428571428571428,1,5,1,0,NA,1.5546918378678538,0,0,
23,0.5,timed-search,0.1,50,1,6,43,1,1,1,random,5,6,Randomly placed,1.0149999999999813,1999,0,5,10,2000,true,4.5,0,393,10,0,1,9,10,0,1,9,4.51999999999997,537,1,1.3,3,5,2,0,NA,2.212389380530988,0,0,
33,0.5,timed-search,0.1,50,5,6,39,1,1,1,random,5,6,Randomly placed,1.0149999999999821,1999,0,5,10,2000,true,4.5,0,407,9,0,2,7,9,0,2,7,4.5174999999999645,536,1,1.5555555555555556,1,2,6,0,NA,1.9922523519645978,0,0,
21,0.5,timed-search,0.1,50,4,12,34,1,1,1,random,5,6,Randomly placed,1.0149999999999817,1999,0,5,10,2000,true,4.5,0,402,10,0,1,9,10,0,1,9,4.504999999999964,534,1,1.5,4,2,4,0,NA,2.219755826859063,0,0,
20,0.5,timed-search,0.1,50,0,18,32,1,1,1,random,5,6,Randomly placed,0.9749999999999818,1999,0,5,10,2000,true,4.5,0,406,10,0,4,6,10,0,4,6,4.505624999999992,536,1,1,3,4,3,0,NA,2.219447912331811,0,0,
34,0.5,timed-search,0.1,50,6,15,29,1,1,1,random,5,6,Randomly placed,1.0149999999999817,1999,0,5,10,2000,true,4.5,0,426,12,1,2,9,12,1,2,9,4.515624999999976,536,1,1.25,4,5,3,0,NA,2.657439446366796,0,0,
27,0.5,timed-search,0.1,50,2,7,41,1,1,1,random,5,6,Randomly placed,1.0149999999999808,1999,0,5,10,2000,true,4.5,0,397,8,1,2,5,8,1,2,5,4.501249999999975,533,1,1.75,2,4,2,0,NA,1.7772840877534117,0,0,
26,0.5,timed-search,0.1,50,7,5,38,1,1,1,random,5,6,Randomly placed,0.9749999999999832,1999,0,5,10,2000,true,4.5,0,405,9,2,0,7,9,2,0,7,4.516874999999984,537,1,1.6666666666666667,2,3,4,0,NA,1.9925280199252873,0,0,
29,0.5,timed-search,0.1,50,8,5,37,1,1,1,random,5,6,Randomly placed,1.0549999999999826,1999,0,5,10,2000,true,4.5,0,368,8,2,2,4,8,2,2,4,4.516249999999995,537,1,1.125,5,3,0,0,NA,1.7713811237199024,0,0,
24,0.5,timed-search,0.1,50,7,7,36,1,1,1,random,5,6,Randomly placed,1.014999999999985,1999,0,5,10,2000,true,4.5,0,431,7,2,1,4,7,2,1,4,4.51624999999999,536,1,1.1428571428571428,3,4,0,0,NA,1.5499584832549163,0,0,
28,0.5,timed-search,0.1,50,6,6,38,1,1,1,random,5,6,Randomly placed,0.974999999999981,1999,0,5,10,2000,true,4.5,0,405,13,1,1,11,13,1,1,11,4.52249999999999,539,1,1.3076923076923077,4,3,6,0,NA,2.8745163073521343,0,0,
25,0.5,timed-search,0.1,50,4,8,38,1,1,1,random,5,6,Randomly placed,0.974999999999984,1999,0,5,10,2000,true,4.5,0,404,6,0,0,6,6,0,0,6,4.505624999999983,534,1,1.3333333333333333,2,1,3,0,NA,1.3316687473990894,0,0,
19,0.5,timed-search,0.1,50,7,10,33,1,1,1,random,5,6,Randomly placed,1.014999999999982,1999,0,5,10,2000,true,4.5,0,415,15,3,4,8,15,3,4,8,4.506249999999989,537,1,1.5333333333333334,6,2,7,0,NA,3.328710124826638,0,0,
37,0.5,timed-search,0.1,50,3,7,40,1,1,1,random,5,6,Randomly placed,0.9749999999999834,1999,0,5,10,2000,true,4.5,0,425,13,1,2,10,13,1,2,10,4.523124999999982,538,1,1.2307692307692308,3,5,5,0,NA,2.874119110128518,0,0,
30,0.5,timed-search,0.1,50,5,6,39,1,1,1,random,5,6,Randomly placed,0.9749999999999861,1999,0,5,10,2000,true,4.5,0,418,11,1,1,9,11,1,1,9,4.501874999999985,535,1,1.5454545454545454,4,6,1,0,NA,2.443426350131898,0,0,
40,0.5,timed-search,0.1,50,6,4,40,1,1,1,random,5,6,Randomly placed,0.9749999999999822,1999,0,5,10,2000,true,4.5,0,439,16,2,1,13,16,2,1,13,4.501249999999983,535,1,1.375,6,3,7,0,NA,3.5545681755068173,0,0,
36,0.5,timed-search,0.1,50,3,8,39,1,1,1,random,5,6,Randomly placed,0.974999999999982,1999,0,5,10,2000,true,4.5,0,355,12,0,0,12,12,0,0,12,4.509999999999987,537,1,1.3333333333333333,4,3,5,0,NA,2.660753880266083,0,0,
31,0.5,timed-search,0.1,50,8,6,36,1,1,1,random,5,6,Randomly placed,0.9749999999999829,1999,0,5,10,2000,true,4.5,0,424,8,1,1,6,8,1,1,6,4.5168749999999855,534,1,1.25,5,1,2,0,NA,1.7711360177113658,0,0,
35,0.5,timed-search,0.1,50,4,8,38,1,1,1,random,5,6,Randomly placed,0.9749999999999818,1999,0,5,10,2000,true,4.5,0,415,11,1,1,9,11,1,1,9,4.508124999999975,535,1,1.2727272727272727,3,3,5,0,NA,2.4400388187994038,0,0,
41,0.5,timed-search,0.1,50,8,6,36,1,1,1,random,5,6,Randomly placed,1.0149999999999826,1999,0,5,10,2000,true,4.5,0,426,17,5,1,11,17,5,1,11,4.506874999999983,536,1,1.2941176470588236,6,6,5,0,NA,3.772014977118306,0,0,
47,0.5,timed-search,0.1,50,7,8,35,1,1,1,random,5,6,Randomly placed,0.974999999999982,1999,0,5,10,2000,true,4.5,0,405,15,4,2,9,15,4,2,9,4.513749999999986,538,1,1.3333333333333333,7,3,5,0,NA,3.323179174743849,0,0,
38,0.5,timed-search,0.1,50,8,5,37,1,1,1,random,5,6,Randomly placed,0.9749999999999833,1999,0,5,10,2000,true,4.5,0,421,8,2,1,5,8,2,1,5,4.521874999999971,535,1,1.25,3,4,1,0,NA,1.7691776088458993,0,0,
48,0.5,timed-search,0.1,50,2,8,40,1,1,1,random,5,6,Randomly placed,1.0149999999999828,1999,0,5,10,2000,true,4.5,0,392,13,1,3,9,13,1,3,9,4.502499999999988,535,1,1.3846153846153846,5,3,5,0,NA,2.8872848417545884,0,0,
50,0.5,timed-search,0.1,50,5,3,42,1,1,1,random,5,6,Randomly placed,1.014999999999985,1999,0,5,10,2000,true,4.5,0,419,5,0,0,5,5,0,0,5,4.516874999999972,534,1,1.6,4,1,0,0,NA,1.106960011069607,0,0,
45,0.5,timed-search,0.1,50,2,8,40,1,1,1,random,5,6,Randomly placed,0.9749999999999882,1999,0,5,10,2000,true,4.5,0,406,10,0,1,9,10,0,1,9,4.512499999999988,536,1,1.2,4,5,1,0,NA,2.2160664819944658,0,0,
39,0.5,timed-search,0.1,50,2,10,38,1,1,1,random,5,6,Randomly placed,0.9749999999999842,1999,0,5,10,2000,true,4.5,0,434,7,1,1,5,7,1,1,5,4.513749999999991,533,1,1.5714285714285714,3,1,3,0,NA,1.5508169482137943,0,0,
44,0.5,timed-search,0.1,50,4,5,41,1,1,1,random,5,6,Randomly placed,0.9749999999999838,1999,0,5,10,2000,true,4.5,0,393,11,1,1,9,11,1,1,9,4.506249999999992,536,1,1.4545454545454546,4,5,2,0,NA,2.441054091539533,0,0,
55,0.5,timed-search,0.1,50,4,8,38,1,1,1,random,5,6,Randomly placed,0.974999999999981,1999,0,5,10,2000,true,4.5,0,413,11,0,2,9,11,0,2,9,4.504999999999976,536,1,1.6363636363636365,3,2,6,0,NA,2.441731409544963,0,0,
57,0.5,timed-search,0.1,50,3,8,39,1,1,1,random,5,6,Randomly placed,0.9749999999999829,1999,0,5,10,2000,true,4.5,0,443,9,1,1,7,9,1,1,7,4.506249999999983,535,1,1.8888888888888888,3,4,2,0,NA,1.9972260748959854,0,0,
58,0.5,timed-search,0.1,50,5,7,38,1,1,1,random,5,6,Randomly placed,1.0149999999999855,1999,0,5,10,2000,true,4.5,0,432,10,0,2,8,10,0,2,8,4.507499999999982,535,1,1.2,5,0,5,0,NA,2.2185246810870862,0,0,
32,0.5,timed-search,0.1,50,11,4,35,1,1,1,random,5,6,Randomly placed,0.974999999999982,1999,0,5,10,2000,true,4.5,0,413,11,1,1,9,11,1,1,9,4.504999999999981,535,1,1.1818181818181819,6,1,4,0,NA,2.44173140954496,0,0,
53,0.5,timed-search,0.1,50,5,8,37,1,1,1,random,5,6,Randomly placed,1.0149999999999804,1999,0,5,10,2000,true,4.5,0,353,8,1,2,5,8,1,2,5,4.514374999999983,537,1,1.625,3,2,3,0,NA,1.7721168489547345,0,0,
54,0.5,timed-search,0.1,50,2,3,45,1,1,1,random,5,6,Randomly placed,1.0149999999999841,1999,0,5,10,2000,true,4.5,0,418,10,0,0,10,10,0,0,10,4.522499999999976,536,1,1.8,2,4,4,0,NA,2.2111663902708796,0,0,
63,0.5,timed-search,0.1,50,5,5,40,1,1,1,random,5,6,Randomly placed,0.9749999999999831,1999,0,5,10,2000,true,4.5,0,419,8,1,1,6,8,1,1,6,4.510624999999973,534,1,1.125,4,3,1,0,NA,1.773590134404888,0,0,
62,0.5,timed-search,0.1,50,5,7,38,1,1,1,random,5,6,Randomly placed,1.054999999999981,1999,0,5,10,2000,true,4.5,0,408,10,1,3,6,10,1,3,6,4.519374999999986,536,1,1.4,6,3,1,0,NA,2.212695339510448,0,0,
64,0.5,timed-search,0.1,50,7,6,37,1,1,1,random,5,6,Randomly placed,0.9749999999999827,1999,0,5,10,2000,true,4.5,0,425,8,1,0,7,8,1,0,7,4.516249999999977,534,1,1.625,2,4,2,0,NA,1.7713811237199093,0,0,
61,0.5,timed-search,0.1,50,5,9,36,1,1,1,random,5,6,Randomly placed,1.0149999999999852,1999,0,5,10,2000,true,4.5,0,424,9,1,2,6,9,1,2,6,4.509999999999972,534,1,1.4444444444444444,1,3,5,0,NA,1.9955654101995688,0,0,
60,0.5,timed-search,0.1,50,4,4,42,1,1,1,random,5,6,Randomly placed,1.054999999999983,1999,0,5,10,2000,true,4.5,0,378,7,1,0,6,7,1,0,6,4.51874999999998,536,1,1.4285714285714286,3,2,2,0,NA,1.5491009681881118,0,0,
56,0.5,timed-search,0.1,50,4,2,44,1,1,1,random,5,6,Randomly placed,0.9749999999999873,1999,0,5,10,2000,true,4.5,0,425,11,0,0,11,11,0,0,11,4.505624999999953,533,1,1.3636363636363635,4,0,7,0,NA,2.441392703565014,0,0,
59,0.5,timed-search,0.1,50,9,5,36,1,1,1,random,5,6,Randomly placed,1.0149999999999844,1999,0,5,10,2000,true,4.5,0,375,11,2,1,8,11,2,1,8,4.504999999999994,536,1,2,0,4,7,0,NA,2.4417314095449534,0,0,
68,0.5,timed-search,0.1,50,4,5,41,1,1,1,random,5,6,Randomly placed,1.0549999999999842,1999,0,5,10,2000,true,4.5,0,402,9,1,1,7,9,1,1,7,4.513749999999973,536,1,1.4444444444444444,4,4,1,0,NA,1.9939075048463148,0,0,
69,0.5,timed-search,0.1,50,3,8,39,1,1,1,random,5,6,Randomly placed,0.9749999999999818,1999,0,5,10,2000,true,4.5,0,454,6,0,1,5,6,0,1,5,4.5162499999999675,533,1,1.3333333333333333,1,2,3,0,NA,1.3285358427899348,0,0,
70,0.5,timed-search,0.1,50,3,9,38,1,1,1,random,5,6,Randomly placed,0.9749999999999812,1999,0,5,10,2000,true,4.5,0,412,8,1,1,6,8,1,1,6,4.505624999999982,534,1,1,2,4,2,0,NA,1.7755583298654531,0,0,
71,0.5,timed-search,0.1,50,5,3,42,1,1,1,random,5,6,Randomly placed,0.9749999999999837,1999,0,5,10,2000,true,4.5,0,423,12,1,1,10,12,1,1,10,4.514999999999984,537,1,1.5,5,3,4,0,NA,2.657807308970109,0,0,
65,0.5,timed-search,0.1,50,5,8,37,1,1,1,random,5,6,Randomly placed,0.9749999999999827,1999,0,5,10,2000,true,4.5,0,418,9,1,1,7,9,1,1,7,4.508749999999979,535,1,1.2222222222222223,1,6,2,0,NA,1.9961186581646893,0,0,
72,0.5,timed-search,0.1,50,7,7,36,1,1,1,random,5,6,Randomly placed,1.014999999999981,1999,0,5,10,2000,true,4.5,0,436,6,3,1,2,6,3,1,2,4.515624999999968,533,1,1.1666666666666667,2,0,4,0,NA,1.3287197231834005,0,0,
67,0.5,timed-search,0.1,50,7,4,39,1,1,1,random,5,6,Randomly placed,0.9749999999999827,1999,0,5,10,2000,true,4.5,0,426,13,2,2,9,13,2,2,9,4.510624999999979,537,1,1.0769230769230769,4,7,2,0,NA,2.8820839684079393,0,0,
75,0.5,timed-search,0.1,50,5,7,38,1,1,1,random,5,6,Randomly placed,1.0149999999999837,1999,0,5,10,2000,true,4.5,0,409,9,0,3,6,9,0,3,6,4.506249999999986,536,1,1.2222222222222223,3,4,2,0,NA,1.9972260748959838,0,0,
76,0.5,timed-search,0.1,50,6,12,32,1,1,1,random,5,6,Randomly placed,1.0149999999999835,1999,0,5,10,2000,true,4.5,0,436,7,3,0,4,7,3,0,4,4.514999999999976,534,1,1.4285714285714286,1,4,2,0,NA,1.5503875968992331,0,0,
51,0.5,timed-search,0.1,50,8,6,36,1,1,1,random,5,6,Randomly placed,0.9749999999999823,1999,0,5,10,2000,true,4.5,0,436,7,2,2,3,7,2,2,3,4.522499999999976,535,1,1.2857142857142858,4,1,2,0,NA,1.5478164731896158,0,0,
74,0.5,timed-search,0.1,50,3,8,39,1,1,1,random,5,6,Randomly placed,1.0149999999999837,1999,0,5,10,2000,true,4.5,0,432,7,0,0,7,7,0,0,7,4.508749999999974,533,1,1.4285714285714286,1,6,0,0,NA,1.5525367341280931,0,0,
77,0.5,timed-search,0.1,50,6,9,35,1,1,1,random,5,6,Randomly placed,0.9749999999999821,1999,0,5,10,2000,true,4.5,0,384,12,1,2,9,12,1,2,9,4.5206249999999955,537,1,2,2,5,5,0,NA,2.6545002073828314,0,0,
73,0.5,timed-search,0.1,50,5,7,38,1,1,1,random,5,6,Randomly placed,0.974999999999982,1999,0,5,10,2000,true,4.5,0,422,11,0,1,10,11,0,1,10,4.5118749999999865,537,1,1.0909090909090908,2,5,4,0,NA,2.4380108048206197,0,0,
42,0.5,timed-search,0.1,50,9,3,38,1,1,1,random,5,6,Randomly placed,1.0149999999999826,1999,0,5,10,2000,true,4.5,0,408,12,4,1,7,12,4,1,7,4.514374999999978,536,1,1.4166666666666667,6,2,4,0,NA,2.658175273432105,0,0,
66,0.5,timed-search,0.1,50,6,6,38,1,1,1,random,5,6,Randomly placed,1.0149999999999808,1999,0,5,10,2000,true,4.5,0,395,6,2,2,2,6,2,2,2,4.508124999999974,533,1,2,2,4,0,0,NA,1.330930264799675,0,0,
78,0.5,timed-search,0.1,50,3,8,39,1,1,1,random,5,6,Randomly placed,1.0149999999999832,1999,0,5,10,2000,true,4.5,0,409,6,0,1,5,6,0,1,5,4.524999999999975,536,1,2,0,4,2,0,NA,1.3259668508287368,0,0,
82,0.5,timed-search,0.1,50,6,9,35,1,1,1,random,5,6,Randomly placed,0.9749999999999838,1999,0,5,10,2000,true,4.5,0,441,8,1,1,6,8,1,1,6,4.5099999999999705,534,1,1.625,1,3,4,0,NA,1.7738359201773952,0,0,
86,0.5,timed-search,0.1,50,7,8,35,1,1,1,random,5,6,Randomly placed,1.0149999999999837,1999,0,5,10,2000,true,4.5,0,416,11,0,6,5,11,0,6,5,4.52499999999999,538,1,1.6363636363636365,1,6,4,0,NA,2.4309392265193424,0,0,
79,0.5,timed-search,0.1,50,4,6,40,1,1,1,random,5,6,Randomly placed,0.9749999999999839,1999,0,5,10,2000,true,4.5,0,428,10,1,3,6,10,1,3,6,4.504999999999991,536,1,1.7,3,4,3,0,NA,2.21975582685905,0,0,
91,0.5,timed-search,0.1,50,8,4,38,1,1,1,random,5,6,Randomly placed,0.9749999999999815,1999,0,5,10,2000,true,4.5,0,364,9,2,0,7,9,2,0,7,4.513749999999986,535,1,1.4444444444444444,1,4,4,0,NA,1.9939075048463093,0,0,
92,0.5,timed-search,0.1,50,7,9,34,1,1,1,random,5,6,Randomly placed,1.0149999999999797,1999,0,5,10,2000,true,4.5,0,438,5,0,0,5,5,0,0,5,4.509999999999985,532,1,1.2,1,4,0,0,NA,1.1086474501108685,0,0,
90,0.5,timed-search,0.1,50,3,5,42,1,1,1,random,5,6,Randomly placed,1.0149999999999817,1999,0,5,10,2000,true,4.5,0,424,8,1,1,6,8,1,1,6,4.500624999999973,534,1,1.25,3,2,3,0,NA,1.777530898486332,0,0,
81,0.5,timed-search,0.1,50,4,6,40,1,1,1,random,5,6,Randomly placed,1.0149999999999824,1999,0,5,10,2000,true,4.5,0,419,8,1,2,5,8,1,2,5,4.508749999999978,535,1,1.5,2,3,3,0,NA,1.7743276961463907,0,0,
84,0.5,timed-search,0.1,50,4,10,36,1,1,1,random,5,6,Randomly placed,0.9749999999999834,1999,0,5,10,2000,true,4.5,0,383,11,0,3,8,11,0,3,8,4.516249999999989,538,1,1.3636363636363635,5,3,3,0,NA,2.435649045114869,0,0,
93,0.5,timed-search,0.1,50,4,9,37,1,1,1,random,5,6,Randomly placed,1.0549999999999848,1999,0,5,10,2000,true,4.5,0,443,11,0,1,10,11,0,1,10,4.509374999999974,535,1,1,5,1,5,0,NA,2.4393624393624536,0,0,
94,0.5,timed-search,0.1,50,2,5,43,1,1,1,random,5,6,Randomly placed,0.974999999999985,1999,0,5,10,2000,true,4.5,0,412,15,1,1,13,15,1,1,13,4.510624999999975,536,1,1.2,3,7,5,0,NA,3.3254815020091635,0,0,
95,0.5,timed-search,0.1,50,8,9,33,1,1,1,random,5,6,Randomly placed,0.974999999999986,1999,0,5,10,2000,true,4.5,0,417,8,1,0,7,8,1,0,7,4.5137499999999875,534,1,1.125,1,4,3,0,NA,1.772362226530052,0,0,
96,0.5,timed-search,0.1,50,10,7,33,1,1,1,random,5,6,Randomly placed,0.9749999999999825,1999,0,5,10,2000,true,4.5,0,413,11,3,1,7,11,3,1,7,4.506249999999977,535,1,1.2727272727272727,5,0,6,0,NA,2.4410540915395407,0,0,
83,0.5,timed-search,0.1,50,6,6,38,1,1,1,random,5,6,Randomly placed,0.9749999999999814,1999,0,5,10,2000,true,4.5,0,409,12,1,2,9,12,1,2,9,4.503749999999967,533,1,1.4166666666666667,5,4,3,0,NA,2.6644462947543905,0,0,
87,0.5,timed-search,0.1,50,6,4,40,1,1,1,random,5,6,Randomly placed,1.054999999999987,1999,0,5,10,2000,true,4.5,0,421,12,1,1,10,12,1,1,10,4.5018749999999805,534,1,1.0833333333333333,4,2,6,0,NA,2.665556018325709,0,0,
97,0.5,timed-search,0.1,50,6,14,30,1,1,1,random,5,6,Randomly placed,0.9749999999999829,1999,0,5,10,2000,true,4.5,0,382,10,1,3,6,10,1,3,6,4.521874999999997,537,1,1.5,3,4,3,0,NA,2.2114720110573614,0,0,
85,0.5,timed-search,0.1,50,3,5,42,1,1,1,random,5,6,Randomly placed,1.0149999999999844,1999,0,5,10,2000,true,4.5,0,418,14,2,1,11,14,2,1,11,4.518124999999988,538,1,1.4285714285714286,5,4,5,0,NA,3.0986305159773218,0,0,
99,0.5,timed-search,0.1,50,7,8,35,1,1,1,random,5,6,Randomly placed,1.014999999999981,1999,0,5,10,2000,true,4.5,0,395,12,3,3,6,12,3,3,6,4.523124999999973,537,1,1.3333333333333333,5,4,3,0,NA,2.6530330247340217,0,0,
100,0.5,timed-search,0.1,50,6,5,39,1,1,1,random,5,6,Randomly placed,1.0149999999999821,1999,0,5,10,2000,true,4.5,0,399,12,2,3,7,12,2,3,7,4.514374999999984,537,1,1.6666666666666667,4,2,6,0,NA,2.6581752734321014,0,0,
103,0.5,timed-search,0.1,50,6,7,37,1,1,1,random,5,6,Randomly placed,0.9749999999999812,1999,0,5,10,2000,true,4.5,0,430,5,1,0,4,5,1,0,4,4.501874999999989,533,1,2.2,0,2,3,0,NA,1.1106483409690433,0,0,
101,0.5,timed-search,0.1,50,4,7,39,1,1,1,random,5,6,Randomly placed,1.014999999999982,1999,0,5,10,2000,true,4.5,0,429,10,2,0,8,10,2,0,8,4.502499999999977,534,1,1.1,2,4,4,0,NA,2.2209883398112273,0,0,
43,0.5,timed-search,0.1,50,5,7,38,1,1,1,random,5,6,Randomly placed,1.014999999999982,1999,0,5,10,2000,true,4.5,0,399,9,1,0,8,9,1,0,8,4.50624999999998,534,1,1.6666666666666667,2,4,3,0,NA,1.9972260748959867,0,0,
88,0.5,timed-search,0.1,50,4,8,38,1,1,1,random,5,6,Randomly placed,0.9749999999999827,1999,0,5,10,2000,true,4.5,0,431,15,1,1,13,15,1,1,13,4.519999999999992,538,1,1.2666666666666666,3,4,8,0,NA,3.3185840707964664,0,0,
89,0.5,timed-search,0.1,50,6,11,33,1,1,1,random,5,6,Randomly placed,1.0149999999999828,1999,0,5,10,2000,true,4.5,0,404,13,2,5,6,13,2,5,6,4.52312499999999,539,1,1.3846153846153846,4,4,5,0,NA,2.874119110128513,0,0,
46,0.5,timed-search,0.1,50,9,5,36,1,1,1,random,5,6,Randomly placed,0.9749999999999827,1999,0,5,10,2000,true,4.5,0,433,11,2,3,6,11,2,3,6,4.517499999999965,535,1,1.2727272727272727,2,5,4,0,NA,2.434975096845619,0,0,
