Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Detectability,Detectability of Rare Mussels,Detectability of Medium-Rare Mussels,Detectability of Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number TRSs,Number Quadrats Per TRS,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Sum of Quadrats per Surveyor,Mussels detected by Surveyor 1,Mussels detected by Surveyor 2,Mussels detected by Surveyor 3,Estimated Density,Sample CV,Mussels Per Person Hour,HH metric,HH Variance,Density Metric
11,0.5,SRS,0.01,5,2,0,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
6,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
20,0.5,SRS,0.01,5,1,2,2,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,2,0,1,1,2,0,1,1,1.666666667,0,0,0,0,0.04,9.974842727,0,0,0,0.04
12,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,2,0,0,2,2,0,0,2,1.666666667,0,0,0,0,0.04,9.974842727,0,0,0,0.04
14,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
8,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
22,0.5,SRS,0.01,5,0,2,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
24,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
21,0.5,SRS,0.01,5,1,0,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
7,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
25,0.5,SRS,0.01,5,2,2,1,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,1,0,1,0,1,0,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
23,0.5,SRS,0.01,5,1,0,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,1,0,0,1,1,0,0,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
27,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
26,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
32,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
30,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
33,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
28,0.5,SRS,0.01,5,0,2,3,1,1,1,1,Clumped Matern 1S,3,0,1S,1.3975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
35,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
36,0.5,SRS,0.01,5,1,0,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
31,0.5,SRS,0.01,5,1,0,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
34,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
29,0.5,SRS,0.01,5,0,2,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,1,0,1,0,1,0,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
38,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
37,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,1,0,1,0,1,0,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
42,0.5,SRS,0.01,5,0,2,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
43,0.5,SRS,0.01,5,0,3,2,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,2,0,2,0,2,0,2,0,1.666666667,0,0,0,0,0.04,9.974842727,0,0,0,0.04
39,0.5,SRS,0.01,5,1,0,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
44,0.5,SRS,0.01,5,1,0,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
47,0.5,SRS,0.01,5,1,0,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
49,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
45,0.5,SRS,0.01,5,1,2,2,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,1,0,0,1,1,0,0,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
53,0.5,SRS,0.01,5,0,2,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
41,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
48,0.5,SRS,0.01,5,2,0,3,1,1,1,1,Clumped Matern 1S,3,0,1S,1.3975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
51,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,1.3975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
50,0.5,SRS,0.01,5,2,1,2,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
46,0.5,SRS,0.01,5,0,3,2,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
58,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
56,0.5,SRS,0.01,5,1,0,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
57,0.5,SRS,0.01,5,1,0,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
60,0.5,SRS,0.01,5,0,2,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
55,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
59,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
52,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
62,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
61,0.5,SRS,0.01,5,1,0,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
63,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
74,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
54,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
69,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
40,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,1,0,0,1,1,0,0,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
73,0.5,SRS,0.01,5,1,2,2,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,1,0,0,1,1,0,0,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
78,0.5,SRS,0.01,5,0,2,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
75,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
68,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
72,0.5,SRS,0.01,5,1,2,2,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
77,0.5,SRS,0.01,5,2,0,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
71,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,2,0,0,2,2,0,0,2,1.666666667,0,0,0,0,0.04,9.974842727,0,0,0,0.04
76,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
70,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
83,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
82,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
67,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
85,0.5,SRS,0.01,5,2,0,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
84,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,2,0,1,1,2,0,1,1,1.666666667,0,0,0,0,0.04,9.974842727,0,0,0,0.04
91,0.5,SRS,0.01,5,2,0,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
66,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
90,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
89,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
86,0.5,SRS,0.01,5,1,3,1,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,1,0,0,1,1,0,0,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
88,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,2,0,1,1,2,0,1,1,1.666666667,0,0,0,0,0.04,9.974842727,0,0,0,0.04
79,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
87,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
96,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
93,0.5,SRS,0.01,5,0,3,2,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
95,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
94,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
99,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
97,0.5,SRS,0.01,5,1,3,1,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
104,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
101,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
107,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
100,0.5,SRS,0.01,5,0,3,2,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
80,0.5,SRS,0.01,5,2,0,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
92,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,2,0,0,2,2,0,0,2,1.666666667,0,0,0,0,0.04,9.974842727,0,0,0,0.04
98,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,0,1,1,0,0,1,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
108,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,0.9975,200,0,0,0,0,TRUE,0,0,200,1,0,1,0,1,0,1,0,1.666666667,0,0,0,0,0.02,14.14213562,0,0,0,0.02
113,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,0.9975,200,0,0,0,0,TRUE,0,0,200,2,0,0,2,2,0,0,2,1.666666667,0,0,0,0,0.04,9.974842727,0,0,0,0.04
112,0.5,SRS,0.01,5,0,2,3,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
81,0.5,SRS,0.01,5,1,1,3,1,1,1,1,Clumped Matern 1S,3,0,1S,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
111,0.5,SRS,0.01,5,0,0,5,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
114,0.5,SRS,0.01,5,0,2,3,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
110,0.5,SRS,0.01,5,0,1,4,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,0.9975,200,0,0,0,0,TRUE,0,0,200,0,0,0,0,0,0,0,0,1.666666667,0,0,0,0,0,NA,0,0,0,0
117,0.5,SRS,0.01,5,0,2,3,1,1,1,1,Clumped Matern 1S+1M,3,0,1S+1M,0.9975,200,0,0,0,0,TRUE,0,0,200,2,0,0,2,2,0,0,2,1.666666667,0,0,0,0,0.04,9.974842727,0,0,0,0.04
