Rep,Quadrat Edge Length,Sampling Method,True Mussel Density,Total Mussels,Total Rare Mussels,Total Medium Mussels,Total Common Mussels,Spatial Distribution,Number of clumps,Poisson mean,Matern Clump Placement,Variance to Mean Ratio,SRS Num Quadrats,Number Transects,Number Quadrats Per Transect,ACS Num Quadrats,ACS Max Clusters,Timed Search variable Search mode,Timed Search max PH,Timed Search detect reduction,Total Quadrats Sampled,Total Mussels in Quadrats,Rare Mussels in Quadrats,Medium Rare Mussels in Quadrats,Common Mussels in Quadrats,Total Mussels Detected,Rare Mussels Detected,Medium Mussels Detected,Common Mussels Detected,Person Hours Searched,Estimated Density,Mussels Per Person Hour,HH metric,HH Variance,
22,0.5,timed-search,0.1,50,2,8,40,Clumped-Poisson,10,2,One shore only,1.014999999999984,10,0,2,10,90,true,4.5,0,390,12,0,3,9,12,0,3,9,4.5087499999999645,0,2.661491544219594,0,0,
30,0.5,timed-search,0.1,50,3,8,39,Clumped-Poisson,10,2,One shore only,1.0549999999999815,10,0,2,10,90,true,4.5,0,410,16,2,1,13,16,2,1,13,4.5174999999999805,0,3.541781959048161,0,0,
25,0.5,timed-search,0.1,50,5,13,32,Clumped-Poisson,10,2,One shore only,1.3749999999999807,10,0,2,10,90,true,4.5,0,426,18,3,4,11,18,3,4,11,4.515,0,3.98671096345515,0,0,
41,0.5,timed-search,0.1,50,5,9,36,Clumped-Poisson,10,2,One shore only,1.014999999999982,10,0,2,10,90,true,4.5,0,386,19,3,3,13,19,3,3,13,4.516874999999969,0,4.206448042064509,0,0,
34,0.5,timed-search,0.1,50,3,8,39,Clumped-Poisson,10,2,One shore only,1.0149999999999828,10,0,2,10,90,true,4.5,0,407,5,0,2,3,5,0,2,3,4.5143749999999745,0,1.1075730305967113,0,0,
37,0.5,timed-search,0.1,50,8,3,39,Clumped-Poisson,10,2,One shore only,1.0149999999999837,10,0,2,10,90,true,4.5,0,409,12,2,0,10,12,2,0,10,4.506249999999981,0,2.662968099861315,0,0,
40,0.5,timed-search,0.1,50,2,8,40,Clumped-Poisson,10,2,One shore only,1.1749999999999816,10,0,2,10,90,true,4.5,0,396,19,0,2,17,19,0,2,17,4.501249999999991,0,4.221049708414338,0,0,
35,0.5,timed-search,0.1,50,5,9,36,Clumped-Poisson,10,2,One shore only,1.1349999999999818,10,0,2,10,90,true,4.5,0,424,10,1,2,7,10,1,2,7,4.513749999999996,0,2.2154527831625606,0,0,
36,0.5,timed-search,0.1,50,3,9,38,Clumped-Poisson,10,2,One shore only,1.2549999999999808,10,0,2,10,90,true,4.5,0,414,11,0,0,11,11,0,0,11,4.50812499999999,0,2.4400388187993953,0,0,
39,0.5,timed-search,0.1,50,4,8,38,Clumped-Poisson,10,2,One shore only,1.0949999999999815,10,0,2,10,90,true,4.5,0,414,14,2,2,10,14,2,2,10,4.518124999999951,0,3.0986305159773475,0,0,
33,0.5,timed-search,0.1,50,8,5,37,Clumped-Poisson,10,2,One shore only,1.0149999999999808,10,0,2,10,90,true,4.5,0,378,17,5,2,10,17,5,2,10,4.512499999999986,0,3.7673130193905933,0,0,
42,0.5,timed-search,0.1,50,5,7,38,Clumped-Poisson,10,2,One shore only,1.0549999999999802,10,0,2,10,90,true,4.5,0,388,15,2,2,11,15,2,2,11,4.520624999999992,0,3.318125259228542,0,0,
44,0.5,timed-search,0.1,50,4,7,39,Clumped-Poisson,10,2,One shore only,1.2949999999999802,10,0,2,10,90,true,4.5,0,423,8,1,2,5,8,1,2,5,4.510624999999972,0,1.7735901344048886,0,0,
45,0.5,timed-search,0.1,50,9,12,29,Clumped-Poisson,10,2,One shore only,1.0549999999999842,10,0,2,10,90,true,4.5,0,441,13,2,6,5,13,2,6,5,4.504999999999971,0,2.885682574916778,0,0,
31,0.5,timed-search,0.1,50,3,11,36,Clumped-Poisson,10,2,One shore only,1.0149999999999804,10,0,2,10,90,true,4.5,0,420,9,2,0,7,9,2,0,7,4.508749999999976,0,1.9961186581646904,0,0,
43,0.5,timed-search,0.1,50,6,9,35,Clumped-Poisson,10,2,One shore only,1.0149999999999844,10,0,2,10,90,true,4.5,0,427,15,2,3,10,15,2,3,10,4.511874999999974,0,3.324560188391763,0,0,
38,0.5,timed-search,0.1,50,5,6,39,Clumped-Poisson,10,2,One shore only,1.214999999999985,10,0,2,10,90,true,4.5,0,394,15,3,1,11,15,3,1,11,4.512500000000001,0,3.324099722991689,0,0,
46,0.5,timed-search,0.1,50,7,8,35,Clumped-Poisson,10,2,One shore only,1.0949999999999802,10,0,2,10,90,true,4.5,0,408,9,1,2,6,9,1,2,6,4.50374999999998,0,1.9983347210657876,0,0,
47,0.5,timed-search,0.1,50,3,9,38,Clumped-Poisson,10,2,One shore only,1.0549999999999853,10,0,2,10,90,true,4.5,0,413,16,0,2,14,16,0,2,14,4.502499999999965,0,3.5535813436979735,0,0,
49,0.5,timed-search,0.1,50,6,5,39,Clumped-Poisson,10,2,One shore only,1.1349999999999802,10,0,2,10,90,true,4.5,0,387,18,0,2,16,18,0,2,16,4.5118750000000025,0,3.9894722260700908,0,0,
48,0.5,timed-search,0.1,50,8,9,33,Clumped-Poisson,10,2,One shore only,1.2149999999999834,10,0,2,10,90,true,4.5,0,416,11,1,1,9,11,1,1,9,4.509999999999968,0,2.4390243902439197,0,0,
56,0.5,timed-search,0.1,50,5,9,36,Clumped-Poisson,10,2,One shore only,1.0949999999999827,10,0,2,20,90,true,4.5,0,400,13,2,3,8,13,2,3,8,4.504374999999957,0,2.8860829748855554,0,0,
50,0.5,timed-search,0.1,50,5,9,36,Clumped-Poisson,10,2,One shore only,1.0549999999999835,10,0,2,10,90,true,4.5,0,419,17,1,2,14,17,1,2,14,4.507499999999978,0,3.7714919578480495,0,0,
61,0.5,timed-search,0.1,50,4,12,34,Clumped-Poisson,10,2,One shore only,1.0549999999999793,10,0,2,20,90,true,4.5,0,394,13,0,5,8,13,0,5,8,4.50812499999999,0,2.8836822403992857,0,0,
52,0.5,timed-search,0.1,50,5,11,34,Clumped-Poisson,10,2,One shore only,1.0949999999999853,10,0,2,20,90,true,4.5,0,416,20,3,3,14,20,3,3,14,4.518124999999992,0,4.426615022824741,0,0,
55,0.5,timed-search,0.1,50,5,9,36,Clumped-Poisson,10,2,One shore only,1.2549999999999801,10,0,2,20,90,true,4.5,0,384,15,2,2,11,15,2,2,11,4.501874999999986,0,3.3319450229071323,0,0,
53,0.5,timed-search,0.1,50,6,8,36,Clumped-Poisson,10,2,One shore only,1.054999999999983,10,0,2,20,90,true,4.5,0,324,16,1,3,12,16,1,3,12,4.5087500000000045,0,3.5486553922927606,0,0,
51,0.5,timed-search,0.1,50,4,4,42,Clumped-Poisson,10,2,One shore only,1.0949999999999827,10,0,2,20,90,true,4.5,0,417,10,2,2,6,10,2,2,6,4.519999999999984,0,2.2123893805309813,0,0,
57,0.5,timed-search,0.1,50,5,8,37,Clumped-Poisson,10,2,One shore only,1.2149999999999805,10,0,2,20,90,true,4.5,0,414,6,0,1,5,6,0,1,5,4.522499999999951,0,1.3266998341625351,0,0,
62,0.5,timed-search,0.1,50,4,7,39,Clumped-Poisson,10,2,One shore only,1.1349999999999807,10,0,2,20,90,true,4.5,0,422,5,0,0,5,5,0,0,5,4.509999999999969,0,1.1086474501108725,0,0,
60,0.5,timed-search,0.1,50,1,7,42,Clumped-Poisson,10,2,One shore only,1.0149999999999861,10,0,2,20,90,true,4.5,0,423,10,0,0,10,10,0,0,10,4.509999999999971,0,2.2172949002217437,0,0,
58,0.5,timed-search,0.1,50,4,9,37,Clumped-Poisson,10,2,One shore only,1.1749999999999812,10,0,2,20,90,true,4.5,0,417,19,2,6,11,19,2,6,11,4.505624999999969,0,4.216951033430463,0,0,
54,0.5,timed-search,0.1,50,6,9,35,Clumped-Poisson,10,2,One shore only,1.094999999999987,10,0,2,20,90,true,4.5,0,427,18,2,7,9,18,2,7,9,4.519999999999963,0,3.9823008849557846,0,0,
59,0.5,timed-search,0.1,50,5,5,40,Clumped-Poisson,10,2,One shore only,1.2149999999999834,10,0,2,20,90,true,4.5,0,360,18,1,1,16,18,1,1,16,4.5174999999999885,0,3.9845047039291743,0,0,
63,0.5,timed-search,0.1,50,6,9,35,Clumped-Poisson,10,2,One shore only,1.054999999999982,10,0,2,20,90,true,4.5,0,379,12,1,3,8,12,1,3,8,4.504374999999971,0,2.664076592202043,0,0,
64,0.5,timed-search,0.1,50,7,9,34,Clumped-Poisson,10,2,One shore only,1.0549999999999826,10,0,2,20,90,true,4.5,0,423,8,2,2,4,8,2,2,4,4.515624999999985,0,1.7716262975778605,0,0,
69,0.5,timed-search,0.1,50,5,9,36,Clumped-Poisson,10,2,One shore only,1.1749999999999818,10,0,2,20,90,true,4.5,0,383,12,1,2,9,12,1,2,9,4.510624999999999,0,2.6603852016073164,0,0,
65,0.5,timed-search,0.1,50,5,10,35,Clumped-Poisson,10,2,One shore only,1.1749999999999856,10,0,2,20,90,true,4.5,0,407,13,0,3,10,13,0,3,10,4.515624999999971,0,2.8788927335640326,0,0,
67,0.5,timed-search,0.1,50,7,11,32,Clumped-Poisson,10,2,One shore only,1.1749999999999832,10,0,2,20,90,true,4.5,0,387,17,3,3,11,17,3,3,11,4.506249999999982,0,3.7725381414701955,0,0,
78,0.5,timed-search,0.1,50,6,7,37,Clumped-Poisson,10,2,One shore only,1.0149999999999826,10,0,2,20,90,true,4.5,0,443,5,0,1,4,5,0,1,4,4.516874999999952,0,1.1069600110696118,0,0,
71,0.5,timed-search,0.1,50,10,8,32,Clumped-Poisson,10,2,One shore only,1.1349999999999785,10,0,2,20,90,true,4.5,0,390,16,6,2,8,16,6,2,8,4.519999999999978,0,3.5398230088495746,0,0,
68,0.5,timed-search,0.1,50,2,10,38,Clumped-Poisson,10,2,One shore only,1.1749999999999812,10,0,2,20,90,true,4.5,0,428,18,1,2,15,18,1,2,15,4.510624999999985,0,3.9905778024109875,0,0,
77,0.5,timed-search,0.1,50,3,6,41,Clumped-Poisson,10,2,One shore only,0.9749999999999842,10,0,2,20,90,true,4.5,0,400,8,0,1,7,8,0,1,7,4.502499999999964,0,1.776790671848987,0,0,
73,0.5,timed-search,0.1,50,10,3,37,Clumped-Poisson,10,2,One shore only,1.214999999999981,10,0,2,20,90,true,4.5,0,381,8,3,0,5,8,3,0,5,4.5043749999999685,0,1.7760510614680296,0,0,
1,0.5,timed-search,0.1,50,9,6,35,Clumped-Poisson,10,2,One shore only,1.1749999999999823,10,0,2,10,90,true,4.5,0,355,12,5,1,6,12,5,1,6,4.522499999999969,0,2.6533996683250596,0,0,
70,0.5,timed-search,0.1,50,4,6,40,Clumped-Poisson,10,2,One shore only,1.1749999999999823,10,0,2,20,90,true,4.5,0,409,11,0,2,9,11,0,2,9,4.504999999999975,0,2.4417314095449636,0,0,
66,0.5,timed-search,0.1,50,5,7,38,Clumped-Poisson,10,2,One shore only,1.0949999999999813,10,0,2,20,90,true,4.5,0,406,8,2,2,4,8,2,2,4,4.508749999999987,0,1.7743276961463872,0,0,
76,0.5,timed-search,0.1,50,4,11,35,Clumped-Poisson,10,2,One shore only,1.1749999999999816,10,0,2,20,90,true,4.5,0,412,19,1,7,11,19,1,7,11,4.507499999999963,0,4.215196894065481,0,0,
74,0.5,timed-search,0.1,50,6,5,39,Clumped-Poisson,10,2,One shore only,1.05499999999998,10,0,2,20,90,true,4.5,0,398,12,3,2,7,12,3,2,7,4.504999999999987,0,2.6637069922308627,0,0,
72,0.5,timed-search,0.1,50,3,6,41,Clumped-Poisson,10,2,One shore only,1.0949999999999824,10,0,2,20,90,true,4.5,0,412,14,1,4,9,14,1,4,9,4.521874999999975,0,3.0960608154803215,0,0,
81,0.5,timed-search,0.1,50,4,6,40,Clumped-Poisson,10,2,One shore only,1.2149999999999823,10,0,2,20,90,true,4.5,0,404,12,0,1,11,12,0,1,11,4.502499999999956,0,2.6651860077734852,0,0,
75,0.5,timed-search,0.1,50,3,11,36,Clumped-Poisson,10,2,One shore only,1.0549999999999822,10,0,2,20,90,true,4.5,0,421,8,1,0,7,8,1,0,7,4.524999999999965,0,1.767955801104986,0,0,
86,0.5,timed-search,0.1,50,4,4,42,Clumped-Poisson,10,2,One shore only,1.0549999999999855,10,0,2,20,90,true,4.5,0,435,18,1,1,16,18,1,1,16,4.518124999999986,0,3.9839535205422725,0,0,
83,0.5,timed-search,0.1,50,6,2,42,Clumped-Poisson,10,2,One shore only,1.0549999999999826,10,0,2,20,90,true,4.5,0,383,22,4,2,16,22,4,2,16,4.52249999999997,0,4.864566058595942,0,0,
80,0.5,timed-search,0.1,50,1,13,36,Clumped-Poisson,10,2,One shore only,1.0549999999999808,10,0,2,20,90,true,4.5,0,416,12,1,5,6,12,1,5,6,4.5249999999999835,0,2.6519337016574682,0,0,
79,0.5,timed-search,0.1,50,10,8,32,Clumped-Poisson,10,2,One shore only,1.0149999999999813,10,0,2,20,90,true,4.5,0,418,25,6,3,16,25,6,3,16,4.517499999999986,0,5.5340343110127455,0,0,
94,0.5,timed-search,0.1,50,6,9,35,Clumped-Poisson,10,2,One shore only,1.1749999999999838,10,0,2,20,90,true,4.5,0,391,13,4,2,7,13,4,2,7,4.508749999999979,0,2.8832825062378844,0,0,
82,0.5,timed-search,0.1,50,3,2,45,Clumped-Poisson,10,2,One shore only,1.0549999999999833,10,0,2,20,90,true,4.5,0,418,15,1,1,13,15,1,1,13,4.508124999999983,0,3.327325661999181,0,0,
93,0.5,timed-search,0.1,50,7,3,40,Clumped-Poisson,10,2,One shore only,1.1349999999999811,10,0,2,20,90,true,4.5,0,404,20,2,1,17,20,2,1,17,4.5074999999999665,0,4.4370493621741876,0,0,
92,0.5,timed-search,0.1,50,4,5,41,Clumped-Poisson,10,2,One shore only,1.1349999999999802,10,0,2,20,90,true,4.5,0,432,20,3,2,15,20,3,2,15,4.509374999999983,0,4.435204435204453,0,0,
89,0.5,timed-search,0.1,50,3,11,36,Clumped-Poisson,10,2,One shore only,1.134999999999985,10,0,2,20,90,true,4.5,0,421,16,2,4,10,16,2,4,10,4.517499999999979,0,3.541781959048163,0,0,
91,0.5,timed-search,0.1,50,7,4,39,Clumped-Poisson,10,2,One shore only,1.0549999999999806,10,0,2,20,90,true,4.5,0,430,10,1,2,7,10,1,2,7,4.510624999999967,0,2.2169876680061127,0,0,
85,0.5,timed-search,0.1,50,5,7,38,Clumped-Poisson,10,2,One shore only,1.0149999999999826,10,0,2,20,90,true,4.5,0,416,13,1,4,8,13,1,4,8,4.505624999999977,0,2.8852822860313645,0,0,
97,0.5,timed-search,0.1,50,5,7,38,Clumped-Poisson,10,2,One shore only,0.9749999999999834,10,0,2,20,90,true,4.5,0,387,26,3,4,19,26,3,4,19,4.511249999999973,0,5.763369354391833,0,0,
90,0.5,timed-search,0.1,50,5,9,36,Clumped-Poisson,10,2,One shore only,1.2949999999999828,10,0,2,20,90,true,4.5,0,421,16,1,1,14,16,1,1,14,4.5043749999999685,0,3.552102122936059,0,0,
98,0.5,timed-search,0.1,50,2,8,40,Clumped-Poisson,10,2,One shore only,1.254999999999983,10,0,2,20,90,true,4.5,0,421,9,0,2,7,9,0,2,7,4.517499999999971,0,1.9922523519645952,0,0,
87,0.5,timed-search,0.1,50,5,8,37,Clumped-Poisson,10,2,One shore only,1.2549999999999806,10,0,2,20,90,true,4.5,0,416,12,2,2,8,12,2,2,8,4.521874999999976,0,2.6537664132688463,0,0,
84,0.5,timed-search,0.1,50,5,10,35,Clumped-Poisson,10,2,One shore only,1.1749999999999785,10,0,2,20,90,true,4.5,0,422,8,2,0,6,8,2,0,6,4.52062499999997,0,1.7696668049218978,0,0,
95,0.5,timed-search,0.1,50,2,8,40,Clumped-Poisson,10,2,One shore only,1.054999999999983,10,0,2,20,90,true,4.5,0,418,10,2,1,7,10,2,1,7,4.514999999999969,0,2.2148394241417653,0,0,
96,0.5,timed-search,0.1,50,3,9,38,Clumped-Poisson,10,2,One shore only,1.0549999999999844,10,0,2,20,90,true,4.5,0,421,11,1,3,7,11,1,3,7,4.504374999999973,0,2.4420702095185383,0,0,
99,0.5,timed-search,0.1,50,4,4,42,Clumped-Poisson,10,2,One shore only,1.2949999999999806,10,0,2,20,90,true,4.5,0,405,19,2,1,16,19,2,1,16,4.524999999999994,0,4.198895027624315,0,0,
101,0.5,timed-search,0.1,50,6,9,35,Clumped-Poisson,10,2,One shore only,1.214999999999982,10,0,4,10,90,true,4.5,0,405,17,2,1,14,17,2,1,14,4.512499999999986,0,3.7673130193905933,0,0,
100,0.5,timed-search,0.1,50,1,7,42,Clumped-Poisson,10,2,One shore only,1.0949999999999842,10,0,2,20,90,true,4.5,0,386,11,1,1,9,11,1,1,9,4.514374999999988,0,2.4366606673127573,0,0,
107,0.5,timed-search,0.1,50,6,7,37,Clumped-Poisson,10,2,One shore only,1.0949999999999847,10,0,4,10,90,true,4.5,0,419,17,1,3,13,17,1,3,13,4.506874999999978,0,3.7720149771183102,0,0,
102,0.5,timed-search,0.1,50,2,6,42,Clumped-Poisson,10,2,One shore only,1.0149999999999837,10,0,4,10,90,true,4.5,0,421,10,0,2,8,10,0,2,8,4.509374999999981,0,2.217602217602227,0,0,
104,0.5,timed-search,0.1,50,4,5,41,Clumped-Poisson,10,2,One shore only,1.1349999999999862,10,0,4,10,90,true,4.5,0,392,17,2,2,13,17,2,2,13,4.501249999999974,0,3.776728686476001,0,0,
108,0.5,timed-search,0.1,50,7,8,35,Clumped-Poisson,10,2,One shore only,1.1749999999999836,10,0,4,10,90,true,4.5,0,396,9,0,3,6,9,0,3,6,4.50499999999998,0,1.9977802441731496,0,0,
106,0.5,timed-search,0.1,50,3,6,41,Clumped-Poisson,10,2,One shore only,1.054999999999981,10,0,4,10,90,true,4.5,0,425,13,0,3,10,13,0,3,10,4.521874999999967,0,2.8749136143745893,0,0,
105,0.5,timed-search,0.1,50,6,4,40,Clumped-Poisson,10,2,One shore only,1.094999999999982,10,0,4,10,90,true,4.5,0,402,7,0,0,7,7,0,0,7,4.513124999999979,0,1.5510317130591402,0,0,
109,0.5,timed-search,0.1,50,4,5,41,Clumped-Poisson,10,2,One shore only,1.054999999999981,10,0,4,10,90,true,4.5,0,428,14,3,3,8,14,3,3,8,4.518124999999982,0,3.098630515977326,0,0,
111,0.5,timed-search,0.1,50,5,5,40,Clumped-Poisson,10,2,One shore only,1.014999999999983,10,0,4,10,90,true,4.5,0,394,11,2,1,8,11,2,1,8,4.514374999999969,0,2.4366606673127675,0,0,
112,0.5,timed-search,0.1,50,7,5,38,Clumped-Poisson,10,2,One shore only,1.0949999999999849,10,0,4,10,90,true,4.5,0,385,15,2,3,10,15,2,3,10,4.503749999999976,0,3.3305578684429817,0,0,
116,0.5,timed-search,0.1,50,9,5,36,Clumped-Poisson,10,2,One shore only,1.0549999999999826,10,0,4,10,90,true,4.5,0,451,6,2,0,4,6,2,0,4,4.508124999999979,0,1.3309302647996735,0,0,
115,0.5,timed-search,0.1,50,5,5,40,Clumped-Poisson,10,2,One shore only,0.9749999999999821,10,0,4,10,90,true,4.5,0,390,8,1,1,6,8,1,1,6,4.5012499999999545,0,1.7772840877534197,0,0,
113,0.5,timed-search,0.1,50,2,8,40,Clumped-Poisson,10,2,One shore only,1.13499999999998,10,0,4,10,90,true,4.5,0,389,14,0,1,13,14,0,1,13,4.523749999999977,0,3.094777562862685,0,0,
110,0.5,timed-search,0.1,50,8,3,39,Clumped-Poisson,10,2,One shore only,1.1349999999999834,10,0,4,10,90,true,4.5,0,379,10,2,0,8,10,2,0,8,4.523124999999973,0,2.210860853945018,0,0,
118,0.5,timed-search,0.1,50,6,7,37,Clumped-Poisson,10,2,One shore only,1.1349999999999834,10,0,4,10,90,true,4.5,0,431,17,3,3,11,17,3,3,11,4.518124999999959,0,3.762622769401058,0,0,
121,0.5,timed-search,0.1,50,5,8,37,Clumped-Poisson,10,2,One shore only,1.054999999999982,10,0,4,10,90,true,4.5,0,397,13,0,0,13,13,0,0,13,4.517499999999979,0,2.8776978417266323,0,0,
122,0.5,timed-search,0.1,50,6,5,39,Clumped-Poisson,10,2,One shore only,1.1349999999999816,10,0,4,10,90,true,4.5,0,420,11,3,0,8,11,3,0,8,4.514374999999999,0,2.436660667312751,0,0,
103,0.5,timed-search,0.1,50,6,10,34,Clumped-Poisson,10,2,One shore only,1.0549999999999842,10,0,4,10,90,true,4.5,0,425,12,2,1,9,12,2,1,9,4.518124999999987,0,2.6559690136948477,0,0,
125,0.5,timed-search,0.1,50,3,4,43,Clumped-Poisson,10,2,One shore only,1.1749999999999836,10,0,4,10,90,true,4.5,0,362,19,2,1,16,19,2,1,16,4.50437499999997,0,4.218121270986568,0,0,
124,0.5,timed-search,0.1,50,4,4,42,Clumped-Poisson,10,2,One shore only,1.1349999999999825,10,0,4,10,90,true,4.5,0,402,11,1,0,10,11,1,0,10,4.515624999999974,0,2.435986159169564,0,0,
127,0.5,timed-search,0.1,50,3,9,38,Clumped-Poisson,10,2,One shore only,1.0549999999999853,10,0,4,10,90,true,4.5,0,400,13,0,3,10,13,0,3,10,4.521874999999981,0,2.8749136143745804,0,0,
